"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"405","Klay Thompson","Golden State Warriors","2/1/2017",2016,2,11,9,"shot_no","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",19,272,13
"406","Klay Thompson","Golden State Warriors","2/1/2017",2016,1,8,58,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-189,174,4
"407","Klay Thompson","Golden State Warriors","2/1/2017",2016,4,6,24,"shot_no","Jump Shot","2PT Field Goal",13,"Charlotte Hornets",-122,57,42
"408","Klay Thompson","Golden State Warriors","2/1/2017",2016,2,6,51,"shot_yes","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",-192,203,18
"409","Klay Thompson","Golden State Warriors","11/25/2016",2016,4,1,56,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",152,197,47
"410","Klay Thompson","Golden State Warriors","2/1/2017",2016,4,10,13,"shot_no","Jump Shot","2PT Field Goal",17,"Charlotte Hornets",110,131,38
"411","Klay Thompson","Golden State Warriors","2/1/2017",2016,2,6,25,"shot_no","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",101,259,18
"412","Klay Thompson","Golden State Warriors","12/23/2016",2016,1,11,16,"shot_yes","Jump Shot","3PT Field Goal",23,"Detroit Pistons",217,100,1
"413","Klay Thompson","Golden State Warriors","1/18/2017",2016,1,9,8,"shot_yes","Jump Shot","3PT Field Goal",23,"Oklahoma City Thunder",-233,41,3
"414","Klay Thompson","Golden State Warriors","1/18/2017",2016,4,9,43,"shot_yes","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-125,229,39
"415","Klay Thompson","Golden State Warriors","1/18/2017",2016,1,4,50,"shot_no","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",22,57,8
"416","Klay Thompson","Golden State Warriors","1/18/2017",2016,4,6,58,"shot_no","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",25,247,42
"417","Klay Thompson","Golden State Warriors","1/18/2017",2016,1,7,19,"shot_no","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",182,164,5
"418","Klay Thompson","Golden State Warriors","1/18/2017",2016,3,7,12,"shot_yes","Jump Shot","3PT Field Goal",22,"Oklahoma City Thunder",228,26,29
"419","Klay Thompson","Golden State Warriors","1/18/2017",2016,3,7,32,"shot_yes","Jump Shot","2PT Field Goal",12,"Oklahoma City Thunder",40,115,29
"420","Klay Thompson","Golden State Warriors","3/5/2017",2016,2,7,27,"shot_no","Jump Shot","2PT Field Goal",16,"New York Knicks",-61,154,17
"421","Klay Thompson","Golden State Warriors","11/21/2016",2016,2,0,41,"shot_no","Jump Shot","3PT Field Goal",23,"Indiana Pacers",232,-16,24
"422","Klay Thompson","Golden State Warriors","12/13/2016",2016,4,1,29,"shot_no","Jump Shot","3PT Field Goal",22,"New Orleans Pelicans",223,21,47
"423","Klay Thompson","Golden State Warriors","12/23/2016",2016,3,8,0,"shot_no","Jump Shot","3PT Field Goal",23,"Detroit Pistons",236,13,28
"424","Klay Thompson","Golden State Warriors","12/23/2016",2016,3,4,52,"shot_no","Jump Shot","3PT Field Goal",23,"Detroit Pistons",232,16,32
"425","Klay Thompson","Golden State Warriors","12/23/2016",2016,4,0,22,"shot_yes","Jump Shot","3PT Field Goal",27,"Detroit Pistons",150,228,48
"426","Klay Thompson","Golden State Warriors","12/23/2016",2016,1,10,4,"shot_yes","Jump Shot","3PT Field Goal",25,"Detroit Pistons",81,244,2
"427","Klay Thompson","Golden State Warriors","12/23/2016",2016,1,8,34,"shot_yes","Jump Shot","2PT Field Goal",20,"Detroit Pistons",0,208,4
"428","Klay Thompson","Golden State Warriors","12/23/2016",2016,1,6,34,"shot_no","Jump Shot","2PT Field Goal",10,"Detroit Pistons",-76,65,6
"429","Klay Thompson","Golden State Warriors","12/23/2016",2016,2,2,33,"shot_no","Jump Shot","3PT Field Goal",24,"Detroit Pistons",240,23,22
"430","Klay Thompson","Golden State Warriors","12/23/2016",2016,3,7,0,"shot_no","Jump Shot","3PT Field Goal",25,"Detroit Pistons",1,254,29
"431","Klay Thompson","Golden State Warriors","12/23/2016",2016,4,9,51,"shot_no","Jump Shot","3PT Field Goal",23,"Detroit Pistons",233,38,39
"432","Klay Thompson","Golden State Warriors","12/23/2016",2016,2,6,31,"shot_no","Jump Shot","2PT Field Goal",5,"Detroit Pistons",-35,36,18
"433","Klay Thompson","Golden State Warriors","12/13/2016",2016,2,7,44,"shot_yes","Jump Shot","2PT Field Goal",14,"New Orleans Pelicans",0,144,17
"434","Klay Thompson","Golden State Warriors","11/9/2016",2016,1,6,19,"shot_yes","Jump Shot","3PT Field Goal",23,"Dallas Mavericks",238,16,6
"435","Klay Thompson","Golden State Warriors","11/9/2016",2016,3,9,58,"shot_no","Jump Shot","3PT Field Goal",22,"Dallas Mavericks",228,11,27
"436","Klay Thompson","Golden State Warriors","11/9/2016",2016,1,4,4,"shot_yes","Jump Shot","3PT Field Goal",25,"Dallas Mavericks",1,254,8
